category,reason,user_id,user_timestamp,user_type,user_asset,user_quantity,user_price_usd,user_fee,user_note,exchange_id,exchange_timestamp,exchange_type,exchange_asset,exchange_quantity,exchange_price_usd,exchange_fee,exchange_note
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-001,2024-03-01T09:00:00.000Z,BUY,BTC,0.5,62000,0.0005,Monthly DCA,EXC-1001,2024-03-01T09:00:32.000Z,BUY,BTC,0.5,62000,0.0005,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-002,2024-03-01T11:30:00.000Z,BUY,ETH,2,3400,0.002,,EXC-1002,2024-03-01T11:30:00.000Z,BUY,ETH,2,3400,0.002,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-003,2024-03-02T08:15:00.000Z,SELL,BTC,0.1,63200,0.0001,Partial exit,EXC-1003,2024-03-02T08:15:10.000Z,SELL,BTC,0.1,63200,0.0001,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-004,2024-03-02T14:45:00.000Z,TRANSFER_OUT,ETH,1,,0.001,Sent to hardware wallet,EXC-1004,2024-03-02T14:45:00.000Z,TRANSFER_IN,ETH,1,,0.001,Received from user wallet
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-005,2024-03-03T10:00:00.000Z,BUY,BTC,0.25,61800,0.00025,Note: BTC referred to as bitcoin,EXC-1005,2024-03-03T10:02:00.000Z,BUY,BTC,0.25,61800,0.00025,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-006,2024-03-03T16:20:00.000Z,BUY,USDT,500,1,0.5,Stablecoin purchase,EXC-1006,2024-03-03T16:20:00.000Z,BUY,USDT,500,1,0.5,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-007,2024-03-04T09:05:00.000Z,SELL,ETH,0.5,3450,0.0005,,EXC-1007,2024-03-04T09:05:55.000Z,SELL,ETH,0.5,3450,0.0005,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-008,2024-03-04T12:00:00.000Z,BUY,SOL,10,140,0.01,,EXC-1008,2024-03-04T12:00:00.000Z,BUY,SOL,10,140,0.01,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-009,2024-03-05T08:30:00.000Z,TRANSFER_OUT,BTC,0.05,,0.0001,Sent to cold storage,EXC-1009,2024-03-05T08:30:00.000Z,TRANSFER_IN,BTC,0.05,,0.0001,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-010,2024-03-05T15:00:00.000Z,BUY,ETH,1.5,3500,0.0015,,EXC-1010,2024-03-05T15:00:00.000Z,BUY,ETH,1.5,3500,0.002,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-011,2024-03-06T10:15:00.000Z,SELL,SOL,5,145,0.005,,EXC-1011,2024-03-06T10:15:00.000Z,SELL,SOL,5,145,0.005,
conflicting,"Quantity mismatch: user=0.3, exchange=0.3001, diff=0.0333%",USR-012,2024-03-06T13:30:00.000Z,BUY,BTC,0.3,62500,0.0003,,EXC-1012,2024-03-06T13:30:00.000Z,BUY,BTC,0.3001,62500,0.0003,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-013,2024-03-07T09:45:00.000Z,BUY,MATIC,200,0.95,0.2,,EXC-1013,2024-03-07T09:45:00.000Z,BUY,MATIC,200,0.95,0.2,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-014,2024-03-07T14:00:00.000Z,SELL,USDT,200,1,0.2,,EXC-1014,2024-03-07T14:00:00.000Z,SELL,USDT,200,1,0.2,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-015,2024-03-08T11:00:00.000Z,BUY,ETH,0.8,3480,0.0008,,EXC-1015,2024-03-08T11:00:00.000Z,BUY,ETH,0.8,3480,0.0008,
unmatched_user,"No exchange transaction found within timestamp tolerance",USR-001,2024-03-01T09:00:00.000Z,BUY,BTC,0.5,62000,0.0005,Monthly DCA,,,,,,,,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-016,2024-03-08T16:45:00.000Z,TRANSFER_OUT,SOL,3,,0.003,,EXC-1016,2024-03-08T16:45:00.000Z,TRANSFER_IN,SOL,3,,0.003,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-017,2024-03-09T10:30:00.000Z,BUY,BTC,0.2,61500,0.0002,,EXC-1017,2024-03-09T10:30:00.000Z,BUY,BTC,0.2,61500,0.0002,
unmatched_user,"Row flagged during ingestion: Invalid timestamp: ""2024-03-09T""",USR-018,,SELL,ETH,0.3,3510,0.0003,Malformed timestamp,,,,,,,,
unmatched_user,"Row flagged during ingestion: Negative quantity: ""-0.1""",USR-019,2024-03-10T08:00:00.000Z,BUY,BTC,,62000,0.0001,Negative quantity - data error,,,,,,,,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-020,2024-03-10T13:00:00.000Z,SELL,BTC,0.15,63000,0.00015,,EXC-1019,2024-03-10T13:00:00.000Z,SELL,BTC,0.15,63000,0.00015,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-021,2024-03-11T09:00:00.000Z,BUY,ETH,1,3520,0.001,,EXC-1020,2024-03-11T09:00:00.000Z,BUY,ETH,1,3520,0.001,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-022,2024-03-11T15:20:00.000Z,BUY,LINK,50,18,0.05,,EXC-1021,2024-03-11T15:20:00.000Z,BUY,LINK,50,18,0.05,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-023,2024-03-12T10:00:00.000Z,SELL,MATIC,100,0.97,0.1,,EXC-1022,2024-03-12T10:00:00.000Z,SELL,MATIC,100,0.97,0.1,
unmatched_user,"Row flagged during ingestion: Invalid timestamp: ""2024-03-12T"", Missing type",USR-024,,,BTC,0.4,62800,0.0004,Missing timestamp entirely,,,,,,,,
matched,"Asset, type, timestamp, and quantity all within tolerance",USR-025,2024-03-13T09:15:00.000Z,BUY,BTC,0.35,62200,0.00035,,EXC-1023,2024-03-13T09:15:00.000Z,BUY,BTC,0.35,62200,0.00035,
unmatched_exchange,"No matching user transaction found",,,,,,,,,EXC-1018,2024-03-09T17:00:00.000Z,SELL,ETH,0.3,3510,0.0003,
unmatched_exchange,"No matching user transaction found",,,,,,,,,EXC-1024,2024-03-13T18:00:00.000Z,BUY,ETH,0.6,3490,0.0006,Not present in user file
unmatched_exchange,"No matching user transaction found",,,,,,,,,EXC-1025,2024-03-14T10:00:00.000Z,SELL,BTC,0.2,63500,0.0002,Not present in user file
